"ncue","P50","P41","econ_state_agg","P55","populist_agg","NSE_AGR"
417,1,5,0.20969085,1,1.0628712,4
418,1,5,-0.98437679,2,1.6010767,4
419,2,3,-0.98437679,1,-0.51304883,4
420,1,5,NA,1,-0.34389338,4
421,1,5,-0.98437679,1,-1.4652275,2
422,1,5,NA,1,-0.30719635,3
423,1,5,-0.98437679,1,-1.2813435,4
424,1,5,NA,1,-0.4075909,4
425,1,2,-0.98437679,1,-1.2446464,2
426,1,1,-0.65843457,2,-0.1800928,2
427,3,5,-0.98437679,1,1.859491,3
428,2,4,NA,1,0.40203393,4
429,1,5,NA,1,-1.497437,2
430,1,4,-0.98437679,1,0.21887162,2
431,2,3,-0.98437679,1,-0.67437708,4
432,2,2,-0.98437679,1,-0.8517586,4
433,1,1,-0.39307344,1,-0.17965125,4
434,2,2,NA,1,-0.42130625,4
435,2,4,NA,2,-0.72493517,3
436,1,5,-0.39307344,1,-0.71207595,3
437,1,5,-0.98437679,2,-1.2316527,1
438,1,5,NA,2,-0.64678931,3
439,1,4,-0.98437679,2,-0.92255026,2
440,1,6,NA,1,NA,3
441,3,5,NA,1,0.31970772,4
442,1,5,-0.98437679,1,-1.4330178,3
443,1,7,-0.65843457,2,-1.497437,1
444,1,5,NA,2,1.0491558,4
445,2,5,NA,1,0.76589048,3
446,3,NA,NA,1,-0.29261354,4
447,1,5,-0.98437679,1,0.35191733,4
448,NA,5,NA,1,-0.076519921,3
449,1,5,NA,2,0.53608149,1
450,1,5,-0.65843457,1,0.65091312,3
451,1,6,-0.067131236,2,1.714039,4
452,1,5,0.80099416,1,-0.079256706,4
453,1,5,1.8026404,1,2.1261427,4
454,1,1,1.4766983,2,1.1449172,3
455,1,5,0.53563309,1,0.55629933,4
456,1,3,NA,1,0.33298153,4
457,1,3,NA,1,0.14924328,3
458,1,5,-0.65843457,2,-0.97122335,3
459,1,5,-0.98437679,1,-0.2492796,3
460,1,2,NA,1,-1.497437,4
461,1,5,1.8026404,1,-1.3685986,3
462,1,5,1.1269363,1,1.3472842,2
463,1,5,2.0680015,2,0.36028913,4
464,1,6,1.4766983,1,1.3094395,4
465,1,5,-0.39307344,1,1.580713,4
466,1,4,-0.98437679,1,0.34107319,3
467,2,5,-0.39307344,1,0.81558114,3
468,1,3,-0.98437679,1,-0.66975963,4
469,1,4,1.4766983,1,-0.44542423,2
470,1,3,-0.98437679,1,-0.24854657,4
471,1,4,-0.98437679,1,-0.59985113,4
472,1,6,-0.98437679,1,-0.22082438,3
473,1,4,-0.98437679,2,-0.1224449,2
474,1,5,0.20969085,NA,NA,3
475,1,3,-0.98437679,2,-0.95864427,3
476,1,NA,-0.98437679,2,-0.8445344,3
477,1,7,1.4766983,NA,-1.497437,2
478,2,NA,NA,1,NA,4
479,1,NA,NA,1,NA,3
480,1,NA,NA,2,0.49374944,4
481,1,5,NA,1,0.57363468,3
482,1,3,0.20969085,2,-0.44543552,3
483,1,4,NA,2,-0.74328369,4
484,1,2,-0.98437679,2,0.34207505,4
485,1,NA,1.8026404,2,-0.21071324,4
486,1,6,0.20969085,1,NA,4
487,2,5,1.4766983,2,0.87177432,2
488,2,5,1.4766983,2,0.89199215,3
489,2,5,1.4766983,2,0.53795081,4
490,2,2,NA,2,0.66926163,4
491,2,5,NA,2,0.7069605,3
492,2,4,-0.98437679,2,0.20774731,1
493,1,5,0.80099416,2,0.99209523,3
494,1,5,-0.98437679,1,0.32821396,3
495,1,5,0.20969085,1,1.4244169,3
496,1,5,-0.98437679,1,1.0243049,3
497,1,5,NA,1,1.1062051,3
498,1,5,-0.98437679,1,0.32821396,3
499,1,2,-0.98437679,2,0.042357564,1
500,1,8,-0.98437679,2,-0.72378755,3
501,1,3,-0.98437679,2,0.92246687,3
502,1,5,-0.98437679,2,0.89199215,4
503,2,3,-0.98437679,2,-0.18327121,3
504,1,5,0.28263065,2,0.40997982,4
505,1,NA,NA,1,-0.66975963,4
506,1,6,NA,1,NA,4
507,1,NA,-0.65843457,1,-0.045899469,3
508,1,4,NA,1,-0.59985113,2
509,1,2,-0.98437679,2,0.94168282,3
510,1,10,NA,1,NA,3
511,1,NA,0.20969085,2,NA,4
512,1,5,-0.98437679,2,-1.0835984,3
513,1,5,NA,1,NA,4
514,1,0,-0.98437679,2,-0.92255026,3
515,1,5,0.80099416,2,0.0046586571,4
516,2,5,NA,2,-0.81868154,4
517,1,NA,0.20969085,2,-0.44414219,3
518,1,NA,NA,2,-0.35688701,4
519,1,NA,NA,2,NA,4
520,1,NA,NA,2,NA,3
521,1,7,1.8026404,2,0.18867709,3
522,3,2,NA,2,NA,3
523,1,8,0.53563309,2,-0.20032637,1
524,1,4,1.1269363,2,-0.35200074,3
525,1,10,1.1269363,1,-0.36137444,3
526,2,5,NA,2,-0.75426227,1
527,1,0,-0.98437679,2,-0.32021704,2
528,1,NA,NA,2,-1.0835984,2
529,1,NA,0.53563309,2,-0.36137444,3
530,1,NA,-0.067131236,2,-1.0025655,2
531,1,10,0.80099416,1,NA,4
532,1,NA,0.20969085,2,NA,4
533,3,5,NA,1,0.22060652,4
534,1,NA,0.53563309,2,NA,4
535,1,NA,-0.98437679,1,NA,4
536,1,6,NA,2,NA,3
537,1,NA,NA,2,NA,4
538,1,NA,0.80099416,2,NA,4
539,1,NA,0.80099416,2,NA,4
540,1,NA,NA,1,NA,4
541,1,6,-0.98437679,1,NA,3
542,1,NA,-0.98437679,2,NA,4
543,1,5,-0.98437679,1,-1.168101,4
544,1,10,NA,1,NA,3
545,3,7,-0.39307344,1,-1.497437,3
546,1,NA,-0.98437679,2,-1.497437,4
547,2,5,NA,1,-1.497437,4
548,1,10,NA,2,1.352639,4
549,1,1,NA,1,-1.4652275,4
550,1,5,NA,1,1.3103069,4
551,2,5,NA,1,-1.497437,4
552,1,4,-0.98437679,1,2.0230227,4
553,1,5,-0.98437679,1,-1.497437,3
554,1,2,NA,1,-0.90259689,2
555,1,4,-0.39307344,2,0.81587261,2
556,1,9,-0.39307344,1,0.16875504,4
557,1,2,-0.98437679,1,NA,4
558,1,7,-0.067131236,1,-0.9918558,3
559,1,NA,-0.98437679,1,2.076452,3
560,1,NA,1.4766983,1,0.81109375,4
561,1,NA,1.1269363,1,-0.027696697,2
562,1,NA,2.3939438,1,0.69698381,4
563,3,NA,0.53563309,1,-0.17401622,4
564,2,NA,-0.98437679,2,0.22696327,2
565,2,NA,0.53563309,1,-0.62353879,2
566,3,NA,NA,2,NA,4
567,1,5,NA,1,0.25643611,4
568,1,4,0.53563309,2,1.1015832,4
569,2,NA,-0.067131236,1,0.50010616,2
570,2,NA,NA,1,NA,4
571,1,5,1.1269363,1,0.37342852,4
572,2,NA,NA,1,0.20139056,4
573,1,6,0.53563309,1,0.71867216,2
574,1,5,0.53563309,1,0.63371223,4
575,2,3,NA,1,-0.18284531,4
576,2,5,1.1269363,1,-0.70819157,3
577,2,NA,1.1269363,1,0.39726633,4
578,2,NA,NA,1,0.13783878,4
579,1,NA,0.80099416,2,-0.73129195,1
580,2,NA,NA,1,-0.24841215,3
581,3,NA,NA,1,0.3844071,4
582,2,NA,0.53563309,1,-0.15452008,4
583,2,NA,1.4766983,1,NA,4
584,2,NA,0.20969085,1,0.63069528,4
585,2,NA,0.53563309,1,NA,4
586,2,NA,-0.65843457,2,-0.58497238,3
587,2,NA,NA,1,NA,4
588,2,NA,1.1269363,1,-0.37523553,3
589,1,5,1.4766983,2,0.43019766,1
590,1,5,1.4766983,1,0.43019766,2
591,1,5,1.4766983,1,1.1834836,4
592,1,6,-0.98437679,2,0.5626561,2
593,1,5,-0.98437679,1,-0.25663823,4
594,3,5,-0.65843457,1,0.37777022,3
595,1,5,NA,2,0.3521975,4
596,1,5,-0.65843457,1,-0.40223601,3
597,1,5,-0.65843457,2,-0.10424212,2
598,2,8,1.8026404,2,0.88000035,3
599,2,6,1.4766983,2,0.15892407,3
600,2,6,0.20969085,2,0.98111665,3
601,1,6,NA,1,1.2770954,2
602,1,5,1.8026404,2,-0.21807186,3
603,2,9,NA,1,0.52595907,3
604,1,5,0.20969085,1,0.52495718,3
605,1,8,NA,2,1.2964458,2
606,3,9,1.4766983,2,1.094359,3
607,2,8,NA,NA,1.5246657,4
608,1,5,0.53563309,1,-1.1175429,4
609,3,NA,-0.39307344,2,1.4564921,3
610,1,3,0.53563309,1,1.5889505,4
611,1,5,-0.39307344,2,1.5061827,3
612,2,NA,0.87393397,2,1.551386,4
